msec,Corr,Zyg,Mas,Valence,Arousal,label,batch_id,Corr_lag1,Corr_lag2,Corr_lag3,Corr_lag4,Corr_lag5,Corr_lag6,Zyg_lag1,Zyg_lag2,Zyg_lag3,Zyg_lag4,Zyg_lag5,Zyg_lag6,Mas_lag1,Mas_lag2,Mas_lag3,Mas_lag4,Mas_lag5
0,7168,9.026475396409284,4.024222520217438,11.22885973425357,-0.9705581,0.4082492,3,3_0,10.4923193253731,11.60360506331703,9.088698266251184,7.840849406011779,8.718157731899051,9.865459225762631,3.68203945120985,3.686063655093033,3.904657911301247,3.698622211987273,4.029411207910549,3.820723990366243,7.912925358531873,5.488876278357205,4.86806615515273,5.704810870748613,6.450937398421161
1,7211,10.29475459298482,3.664142546195586,10.60004361457706,-0.9707544,0.4082492,3,3_0,9.026475396409284,10.4923193253731,11.60360506331703,9.088698266251184,7.840849406011779,8.718157731899051,4.024222520217438,3.68203945120985,3.686063655093033,3.904657911301247,3.698622211987273,4.029411207910549,11.22885973425357,7.912925358531873,5.488876278357205,4.86806615515273,5.704810870748613
2,7255,13.56192325819682,3.235778000129952,7.509501424954782,-0.9709659,0.4082429,3,3_0,10.29475459298482,9.026475396409284,10.4923193253731,11.60360506331703,9.088698266251184,7.840849406011779,3.664142546195586,4.024222520217438,3.68203945120985,3.686063655093033,3.904657911301247,3.698622211987273,10.60004361457706,11.22885973425357,7.912925358531873,5.488876278357205,4.86806615515273
3,7299,14.2721264904809,3.380231559824198,5.296412109928903,-0.9710689,0.4082049,3,3_0,13.56192325819682,10.29475459298482,9.026475396409284,10.4923193253731,11.60360506331703,9.088698266251184,3.235778000129952,3.664142546195586,4.024222520217438,3.68203945120985,3.686063655093033,3.904657911301247,7.509501424954782,10.60004361457706,11.22885973425357,7.912925358531873,5.488876278357205
4,7343,13.17427899325505,3.490126470845514,4.078567665783217,-0.9713141,0.408164,3,3_0,14.2721264904809,13.56192325819682,10.29475459298482,9.026475396409284,10.4923193253731,11.60360506331703,3.380231559824198,3.235778000129952,3.664142546195586,4.024222520217438,3.68203945120985,3.686063655093033,5.296412109928903,7.509501424954782,10.60004361457706,11.22885973425357,7.912925358531873
5,7387,10.52739820326413,3.119838503268088,4.27256950626994,-0.9716359,0.408139,3,3_0,13.17427899325505,14.2721264904809,13.56192325819682,10.29475459298482,9.026475396409284,10.4923193253731,3.490126470845514,3.380231559824198,3.235778000129952,3.664142546195586,4.024222520217438,3.68203945120985,4.078567665783217,5.296412109928903,7.509501424954782,10.60004361457706,11.22885973425357
6,7431,9.197717437364478,3.406724437062112,5.323761396574679,-0.9718578,0.4081326,3,3_0,10.52739820326413,13.17427899325505,14.2721264904809,13.56192325819682,10.29475459298482,9.026475396409284,3.119838503268088,3.490126470845514,3.380231559824198,3.235778000129952,3.664142546195586,4.024222520217438,4.27256950626994,4.078567665783217,5.296412109928903,7.509501424954782,10.60004361457706
7,7474,10.38305354028199,3.52087514524575,5.314647191770142,-0.9721211,0.408121,3,3_0,9.197717437364478,10.52739820326413,13.17427899325505,14.2721264904809,13.56192325819682,10.29475459298482,3.406724437062112,3.119838503268088,3.490126470845514,3.380231559824198,3.235778000129952,3.664142546195586,5.323761396574679,4.27256950626994,4.078567665783217,5.296412109928903,7.509501424954782
8,7518,10.01713732994908,3.489011182525233,4.251063822064889,-0.9721612,0.408121,3,3_0,10.38305354028199,9.197717437364478,10.52739820326413,13.17427899325505,14.2721264904809,13.56192325819682,3.52087514524575,3.406724437062112,3.119838503268088,3.490126470845514,3.380231559824198,3.235778000129952,5.314647191770142,5.323761396574679,4.27256950626994,4.078567665783217,5.296412109928903
9,7562,11.23056818652524,4.371739755871543,4.821166136396589,-0.9719424,0.4085732,3,3_0,10.01713732994908,10.38305354028199,9.197717437364478,10.52739820326413,13.17427899325505,14.2721264904809,3.489011182525233,3.52087514524575,3.406724437062112,3.119838503268088,3.490126470845514,3.380231559824198,4.251063822064889,5.314647191770142,5.323761396574679,4.27256950626994,4.078567665783217
10,7606,12.7464665532455,5.028762033549404,5.822578092910631,-0.9716625,0.4088582,3,3_0,11.23056818652524,10.01713732994908,10.38305354028199,9.197717437364478,10.52739820326413,13.17427899325505,4.371739755871543,3.489011182525233,3.52087514524575,3.406724437062112,3.119838503268088,3.490126470845514,4.821166136396589,4.251063822064889,5.314647191770142,5.323761396574679,4.27256950626994
11,7650,13.31703267956387,5.376004233556133,6.945159024121309,-0.9711164,0.4090952,3,3_0,12.7464665532455,11.23056818652524,10.01713732994908,10.38305354028199,9.197717437364478,10.52739820326413,5.028762033549404,4.371739755871543,3.489011182525233,3.52087514524575,3.406724437062112,3.119838503268088,5.822578092910631,4.821166136396589,4.251063822064889,5.314647191770142,5.323761396574679
12,7694,14.19286287038275,6.512101330966653,8.676292184997497,-0.970297,0.4097228,3,3_0,13.31703267956387,12.7464665532455,11.23056818652524,10.01713732994908,10.38305354028199,9.197717437364478,5.376004233556133,5.028762033549404,4.371739755871543,3.489011182525233,3.52087514524575,3.406724437062112,6.945159024121309,5.822578092910631,4.821166136396589,4.251063822064889,5.314647191770142
13,7737,15.00963126356463,8.457546699397788,12.16524809124231,-0.9696225,0.4099452,3,3_0,14.19286287038275,13.31703267956387,12.7464665532455,11.23056818652524,10.01713732994908,10.38305354028199,6.512101330966653,5.376004233556133,5.028762033549404,4.371739755871543,3.489011182525233,3.52087514524575,8.676292184997497,6.945159024121309,5.822578092910631,4.821166136396589,4.251063822064889
